Name;price;original_price;Brand;Date
Nike Women's Revolution 5 Running Shoe;64.99;famousfootwear.com;2020-12-11 11
Nike Women's Swift 2 Running Shoe;69.99;famousfootwear.com;2020-12-11 11
Nike Precision IV Basketball Shoe;69.99;famousfootwear.com;2020-12-11 11
Nike Women's MC Training Shoe;69.99;famousfootwear.com;2020-12-11 11
Nike Women's Quest 3 Running Shoe;74.99;famousfootwear.com;2020-12-11 11
Nike Women's Revolution 5 Running Shoe;64.99;famousfootwear.com;2020-12-11 11
Nike Women's In Season 9 Training Shoe;74.99;famousfootwear.com;2020-12-11 11
Nike Women's Court Vision Low Sneaker;64.99;famousfootwear.com;2020-12-11 11
Nike Women's Air Max Motion 2 Sneaker;84.99;famousfootwear.com;2020-12-11 11
Nike Precision III Basketball Shoe;69.99;famousfootwear.com;2020-12-11 11
Nike Women's Court Royale Slip On Sneaker;54.99;famousfootwear.com;2020-12-11 11
Nike Women's Court Royale AC Sneaker;59.99;famousfootwear.com;2020-12-11 11
Nike Women's Revolution 5 Running Shoe;64.99;famousfootwear.com;2020-12-11 11
Nike Women's Tanjun Sneaker;64.99;famousfootwear.com;2020-12-11 11
Nike Women's Flex Experience 9 Running Shoe;64.99;famousfootwear.com;2020-12-11 11
Nike Women's Court Royale Canvas Sneaker;59.99;famousfootwear.com;2020-12-11 11
Nike Women's Tanjun Sneaker;64.99;famousfootwear.com;2020-12-11 11
Nike Women's Air Max Torch 4 Running Shoe;84.99;famousfootwear.com;2020-12-11 11
Nike Women's Court Royale Canvas Sneaker;59.99;famousfootwear.com;2020-12-11 11
Nike Women's Air Max Motion 2 Sneaker;84.99;famousfootwear.com;2020-12-11 11
Nike Women's Air Max Excee Sneaker;89.99;famousfootwear.com;2020-12-11 11
Nike Women's Air Max Excee Sneaker;89.99;famousfootwear.com;2020-12-11 11
Nike Women's Revolution 5 Wide Running Shoe;64.99;famousfootwear.com;2020-12-11 11
Nike Women's In Season 9 Training Shoe;74.99;famousfootwear.com;2020-12-11 11
Nike Precision 2 Basketball Shoe;69.99;famousfootwear.com;2020-12-11 11
Nike Women's Revolution 5 Running Shoe;64.99;famousfootwear.com;2020-12-11 11
Nike Women's Air Max Excee Sneaker;89.99;famousfootwear.com;2020-12-11 11
Nike Women's Court Vision Low Sneaker;69.99;famousfootwear.com;2020-12-11 11
Nike Women's Air Max Bella 3 Training Shoe;79.99;famousfootwear.com;2020-12-11 11
Nike Women's In Season 9 Training Shoe;74.99;famousfootwear.com;2020-12-11 11
Nike Women's Legend Essential Training Sneaker;59.99;famousfootwear.com;2020-12-11 11
Nike Women's Air Max Excee Sneaker;89.99;famousfootwear.com;2020-12-11 11
Nike Women's Court Royale Slip On Sneaker;54.99;famousfootwear.com;2020-12-11 11
Nike Women's Revolution 5 Running Shoe;64.99;famousfootwear.com;2020-12-11 11
Nike Women's Court Royale Slip On Sneaker;54.99;famousfootwear.com;2020-12-11 11
Nike Women's Court Vision Low Sneaker;64.99;famousfootwear.com;2020-12-11 11
Nike Women's Air Max Camden Slide Sandal;49.99;famousfootwear.com;2020-12-11 11
Nike Women's Celso Girl Flip Flop Sandal;23.99;famousfootwear.com;2020-12-11 11
Nike Women's Air Max Excee Sneaker;89.99;famousfootwear.com;2020-12-11 11
Nike Women's Tanjun Sneaker;64.99;famousfootwear.com;2020-12-11 11
Nike Women's Court Vision Mid Sneaker;74.99;famousfootwear.com;2020-12-11 11
Nike Women's In Season 9 Training Shoe;74.99;famousfootwear.com;2020-12-11 11
Nike Women's Air Max Torch 4 Running Shoe;84.99;famousfootwear.com;2020-12-11 11
Nike Women's In Season 9 Training Shoe;74.99;famousfootwear.com;2020-12-11 11
Nike Women's Downshifter 10 Wide Running Shoe;59.99;famousfootwear.com;2020-12-11 11
Nike Women's Reax Run 5 Running Shoe;74.99;famousfootwear.com;2020-12-11 11
Nike Air Max Impact Basketball Shoe;89.99;famousfootwear.com;2020-12-11 11
Nike Women's Court Vision Low Sneaker;64.99;famousfootwear.com;2020-12-11 11
Nike Precision IV Basketball Shoe;69.99;famousfootwear.com;2020-12-11 11
Nike KD Trey 5 VIII Basketball Shoe;89.99;famousfootwear.com;2020-12-11 11
Nike Women's Air Max Excee Sneaker;89.99;famousfootwear.com;2020-12-11 11
Nike Precision IV Basketball Shoe;69.99;famousfootwear.com;2020-12-11 11
Nike Precision IV Basketball Shoe;69.99;famousfootwear.com;2020-12-11 11
Nike Women's Air Max Excee Sneaker;89.99;famousfootwear.com;2020-12-11 11
Nike Precision IV Basketball Shoe;69.99;famousfootwear.com;2020-12-11 11
Nike Women's In Season 9 Training Shoe;74.99;famousfootwear.com;2020-12-11 11
Nike Women's Court Vision Low Sneaker;64.99;famousfootwear.com;2020-12-11 11
Nike Women's Tanjun Sneaker;64.99;famousfootwear.com;2020-12-11 11
Nike Lebron Witness V Basketball Shoe;99.99;famousfootwear.com;2020-12-11 11
Nike Women's Tanjun Sandal;44.99;famousfootwear.com;2020-12-11 11
Nike Women's Quest 3 Running Shoe;74.99;famousfootwear.com;2020-12-11 11
Nike Women's Air Max Bella 3 Training Shoe;79.99;famousfootwear.com;2020-12-11 11
Nike Women's SB Charge Skate Shoe;64.99;famousfootwear.com;2020-12-11 11
Nike Women's Reax Run 5 Running Shoe;74.99;famousfootwear.com;2020-12-11 11
Nike Women's Court Royale 2 Sneaker;54.99;famousfootwear.com;2020-12-11 11
Nike Women's Juniper Trail Running Shoe;69.99;famousfootwear.com;2020-12-11 11
Nike Women's Air Max Torch 4 Running Shoe;84.99;famousfootwear.com;2020-12-11 11
Nike Kyrie Flytrap III Basketball Shoe;79.99;famousfootwear.com;2020-12-11 11
Nike Women's SB Charge Skate Shoe;64.99;famousfootwear.com;2020-12-11 11
Nike Women's Court Royale Slip On Sneaker;59.99;famousfootwear.com;2020-12-11 11
Nike Women's Venture Runner Sneaker;69.99;famousfootwear.com;2020-12-11 11
Nike Women's Air Max Excee Sneaker;89.99;famousfootwear.com;2020-12-11 11
Nike Women's Air Max Excee Sneaker;89.99;famousfootwear.com;2020-12-11 11
Nike Lebron Witness IV Basketball Shoe;99.99;famousfootwear.com;2020-12-11 11
Nike Women's SB Charge Skate Shoe;64.99;famousfootwear.com;2020-12-11 11
Nike Women's Asuna Slide Sandal;44.99;famousfootwear.com;2020-12-11 11
